Web Search Interest: tobacco
United States; 2004 - present

Interest over time
Week,tobacco
2005-06-12 - 2005-06-18,60
2005-06-19 - 2005-06-25,62
2005-06-26 - 2005-07-02,55
2005-07-03 - 2005-07-09,58
2005-07-10 - 2005-07-16,56
2005-07-17 - 2005-07-23,58
2005-07-24 - 2005-07-30,55
2005-07-31 - 2005-08-06,58
2005-08-07 - 2005-08-13,53
2005-08-14 - 2005-08-20,55
2005-08-21 - 2005-08-27,56
2005-08-28 - 2005-09-03,57
2005-09-04 - 2005-09-10,61
2005-09-11 - 2005-09-17,58
2005-09-18 - 2005-09-24,65
2005-09-25 - 2005-10-01,67
2005-10-02 - 2005-10-08,68
2005-10-09 - 2005-10-15,70
2005-10-16 - 2005-10-22,72
2005-10-23 - 2005-10-29,71
2005-10-30 - 2005-11-05,74
2005-11-06 - 2005-11-12,76
2005-11-13 - 2005-11-19,81
2005-11-20 - 2005-11-26,57
2005-11-27 - 2005-12-03,70
2005-12-04 - 2005-12-10,69
2005-12-11 - 2005-12-17,68
2005-12-18 - 2005-12-24,60
2005-12-25 - 2005-12-31,49
2006-01-01 - 2006-01-07,56
2006-01-08 - 2006-01-14,62
2006-01-15 - 2006-01-21,62
2006-01-22 - 2006-01-28,65
2006-01-29 - 2006-02-04,64
2006-02-05 - 2006-02-11,62
2006-02-12 - 2006-02-18,62
2006-02-19 - 2006-02-25,60
2006-02-26 - 2006-03-04,67
2006-03-05 - 2006-03-11,65
2006-03-12 - 2006-03-18,67
2006-03-19 - 2006-03-25,65
2006-03-26 - 2006-04-01,66
2006-04-02 - 2006-04-08,70
2006-04-09 - 2006-04-15,67
2006-04-16 - 2006-04-22,65
2006-04-23 - 2006-04-29,69
2006-04-30 - 2006-05-06,67
2006-05-07 - 2006-05-13,66
2006-05-14 - 2006-05-20,64
2006-05-21 - 2006-05-27,60
2006-05-28 - 2006-06-03,56
2006-06-04 - 2006-06-10,56
2006-06-11 - 2006-06-17,51
2006-06-18 - 2006-06-24,50
2006-06-25 - 2006-07-01,48
2006-07-02 - 2006-07-08,49
2006-07-09 - 2006-07-15,52
2006-07-16 - 2006-07-22,50
2006-07-23 - 2006-07-29,53
2006-07-30 - 2006-08-05,48
2006-08-06 - 2006-08-12,51
2006-08-13 - 2006-08-19,50
2006-08-20 - 2006-08-26,51
2006-08-27 - 2006-09-02,55
2006-09-03 - 2006-09-09,54
2006-09-10 - 2006-09-16,56
2006-09-17 - 2006-09-23,60
2006-09-24 - 2006-09-30,67
2006-10-01 - 2006-10-07,62
2006-10-08 - 2006-10-14,65
2006-10-15 - 2006-10-21,64
2006-10-22 - 2006-10-28,67
2006-10-29 - 2006-11-04,65
2006-11-05 - 2006-11-11,70
2006-11-12 - 2006-11-18,66
2006-11-19 - 2006-11-25,52
2006-11-26 - 2006-12-02,67
2006-12-03 - 2006-12-09,66
2006-12-10 - 2006-12-16,64
2006-12-17 - 2006-12-23,52
2006-12-24 - 2006-12-30,44
2006-12-31 - 2007-01-06,53
2007-01-07 - 2007-01-13,55
2007-01-14 - 2007-01-20,55
2007-01-21 - 2007-01-27,58
2007-01-28 - 2007-02-03,63
2007-02-04 - 2007-02-10,57
2007-02-11 - 2007-02-17,54
2007-02-18 - 2007-02-24,60
2007-02-25 - 2007-03-03,60
2007-03-04 - 2007-03-10,60
2007-03-11 - 2007-03-17,61
2007-03-18 - 2007-03-24,74
2007-03-25 - 2007-03-31,62
2007-04-01 - 2007-04-07,57
2007-04-08 - 2007-04-14,59
2007-04-15 - 2007-04-21,62
2007-04-22 - 2007-04-28,63
2007-04-29 - 2007-05-05,64
2007-05-06 - 2007-05-12,62
2007-05-13 - 2007-05-19,59
2007-05-20 - 2007-05-26,53
2007-05-27 - 2007-06-02,57
2007-06-03 - 2007-06-09,50
2007-06-10 - 2007-06-16,53
2007-06-17 - 2007-06-23,46
2007-06-24 - 2007-06-30,49
2007-07-01 - 2007-07-07,47
2007-07-08 - 2007-07-14,51
2007-07-15 - 2007-07-21,53
2007-07-22 - 2007-07-28,51
2007-07-29 - 2007-08-04,49
2007-08-05 - 2007-08-11,47
2007-08-12 - 2007-08-18,44
2007-08-19 - 2007-08-25,46
2007-08-26 - 2007-09-01,46
2007-09-02 - 2007-09-08,49
2007-09-09 - 2007-09-15,54
2007-09-16 - 2007-09-22,56
2007-09-23 - 2007-09-29,58
2007-09-30 - 2007-10-06,58
2007-10-07 - 2007-10-13,56
2007-10-14 - 2007-10-20,59
2007-10-21 - 2007-10-27,59
2007-10-28 - 2007-11-03,62
2007-11-04 - 2007-11-10,61
2007-11-11 - 2007-11-17,65
2007-11-18 - 2007-11-24,50
2007-11-25 - 2007-12-01,64
2007-12-02 - 2007-12-08,62
2007-12-09 - 2007-12-15,56
2007-12-16 - 2007-12-22,51
2007-12-23 - 2007-12-29,39
2007-12-30 - 2008-01-05,44
2008-01-06 - 2008-01-12,53
2008-01-13 - 2008-01-19,54
2008-01-20 - 2008-01-26,49
2008-01-27 - 2008-02-02,54
2008-02-03 - 2008-02-09,56
2008-02-10 - 2008-02-16,56
2008-02-17 - 2008-02-23,59
2008-02-24 - 2008-03-01,58
2008-03-02 - 2008-03-08,58
2008-03-09 - 2008-03-15,57
2008-03-16 - 2008-03-22,54
2008-03-23 - 2008-03-29,55
2008-03-30 - 2008-04-05,60
2008-04-06 - 2008-04-12,62
2008-04-13 - 2008-04-19,60
2008-04-20 - 2008-04-26,61
2008-04-27 - 2008-05-03,58
2008-05-04 - 2008-05-10,58
2008-05-11 - 2008-05-17,54
2008-05-18 - 2008-05-24,55
2008-05-25 - 2008-05-31,51
2008-06-01 - 2008-06-07,49
2008-06-08 - 2008-06-14,48
2008-06-15 - 2008-06-21,48
2008-06-22 - 2008-06-28,46
2008-06-29 - 2008-07-05,45
2008-07-06 - 2008-07-12,49
2008-07-13 - 2008-07-19,47
2008-07-20 - 2008-07-26,50
2008-07-27 - 2008-08-02,47
2008-08-03 - 2008-08-09,47
2008-08-10 - 2008-08-16,44
2008-08-17 - 2008-08-23,44
2008-08-24 - 2008-08-30,44
2008-08-31 - 2008-09-06,48
2008-09-07 - 2008-09-13,52
2008-09-14 - 2008-09-20,53
2008-09-21 - 2008-09-27,56
2008-09-28 - 2008-10-04,56
2008-10-05 - 2008-10-11,60
2008-10-12 - 2008-10-18,57
2008-10-19 - 2008-10-25,57
2008-10-26 - 2008-11-01,59
2008-11-02 - 2008-11-08,54
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,63
2008-11-23 - 2008-11-29,50
2008-11-30 - 2008-12-06,58
2008-12-07 - 2008-12-13,58
2008-12-14 - 2008-12-20,52
2008-12-21 - 2008-12-27,41
2008-12-28 - 2009-01-03,42
2009-01-04 - 2009-01-10,52
2009-01-11 - 2009-01-17,54
2009-01-18 - 2009-01-24,52
2009-01-25 - 2009-01-31,54
2009-02-01 - 2009-02-07,55
2009-02-08 - 2009-02-14,56
2009-02-15 - 2009-02-21,59
2009-02-22 - 2009-02-28,63
2009-03-01 - 2009-03-07,65
2009-03-08 - 2009-03-14,72
2009-03-15 - 2009-03-21,67
2009-03-22 - 2009-03-28,72
2009-03-29 - 2009-04-04,100
2009-04-05 - 2009-04-11,74
2009-04-12 - 2009-04-18,70
2009-04-19 - 2009-04-25,71
2009-04-26 - 2009-05-02,66
2009-05-03 - 2009-05-09,67
2009-05-10 - 2009-05-16,62
2009-05-17 - 2009-05-23,59
2009-05-24 - 2009-05-30,61
2009-05-31 - 2009-06-06,59
2009-06-07 - 2009-06-13,64
2009-06-14 - 2009-06-20,58
2009-06-21 - 2009-06-27,61
2009-06-28 - 2009-07-04,53
2009-07-05 - 2009-07-11,54
2009-07-12 - 2009-07-18,54
2009-07-19 - 2009-07-25,56
2009-07-26 - 2009-08-01,53
2009-08-02 - 2009-08-08,49
2009-08-09 - 2009-08-15,50
2009-08-16 - 2009-08-22,52
2009-08-23 - 2009-08-29,57
2009-08-30 - 2009-09-05,56
2009-09-06 - 2009-09-12,57
2009-09-13 - 2009-09-19,58
2009-09-20 - 2009-09-26,61
2009-09-27 - 2009-10-03,59
2009-10-04 - 2009-10-10,59
2009-10-11 - 2009-10-17,59
2009-10-18 - 2009-10-24,61
2009-10-25 - 2009-10-31,61
2009-11-01 - 2009-11-07,61
2009-11-08 - 2009-11-14,63
2009-11-15 - 2009-11-21,64
2009-11-22 - 2009-11-28,51
2009-11-29 - 2009-12-05,61
2009-12-06 - 2009-12-12,60
2009-12-13 - 2009-12-19,57
2009-12-20 - 2009-12-26,44
2009-12-27 - 2010-01-02,47
2010-01-03 - 2010-01-09,54
2010-01-10 - 2010-01-16,60
2010-01-17 - 2010-01-23,54
2010-01-24 - 2010-01-30,55
2010-01-31 - 2010-02-06,52
2010-02-07 - 2010-02-13,52
2010-02-14 - 2010-02-20,53
2010-02-21 - 2010-02-27,58
2010-02-28 - 2010-03-06,56
2010-03-07 - 2010-03-13,59
2010-03-14 - 2010-03-20,58
2010-03-21 - 2010-03-27,60
2010-03-28 - 2010-04-03,56
2010-04-04 - 2010-04-10,62
2010-04-11 - 2010-04-17,58
2010-04-18 - 2010-04-24,63
2010-04-25 - 2010-05-01,60
2010-05-02 - 2010-05-08,58
2010-05-09 - 2010-05-15,56
2010-05-16 - 2010-05-22,54
2010-05-23 - 2010-05-29,52
2010-05-30 - 2010-06-05,51
2010-06-06 - 2010-06-12,47
2010-06-13 - 2010-06-19,49
2010-06-20 - 2010-06-26,47
2010-06-27 - 2010-07-03,49
2010-07-04 - 2010-07-10,47
2010-07-11 - 2010-07-17,48
2010-07-18 - 2010-07-24,47
2010-07-25 - 2010-07-31,48
2010-08-01 - 2010-08-07,47
2010-08-08 - 2010-08-14,46
2010-08-15 - 2010-08-21,47
2010-08-22 - 2010-08-28,49
2010-08-29 - 2010-09-04,50
2010-09-05 - 2010-09-11,50
2010-09-12 - 2010-09-18,52
2010-09-19 - 2010-09-25,52
2010-09-26 - 2010-10-02,52
2010-10-03 - 2010-10-09,55
2010-10-10 - 2010-10-16,54
2010-10-17 - 2010-10-23,53
2010-10-24 - 2010-10-30,54
2010-10-31 - 2010-11-06,55
2010-11-07 - 2010-11-13,55
2010-11-14 - 2010-11-20,55
2010-11-21 - 2010-11-27,46
2010-11-28 - 2010-12-04,53
2010-12-05 - 2010-12-11,55
2010-12-12 - 2010-12-18,48
2010-12-19 - 2010-12-25,44
2010-12-26 - 2011-01-01,42
2011-01-02 - 2011-01-08,55
2011-01-09 - 2011-01-15,54
2011-01-16 - 2011-01-22,54
2011-01-23 - 2011-01-29,55
2011-01-30 - 2011-02-05,53
2011-02-06 - 2011-02-12,56
2011-02-13 - 2011-02-19,56
2011-02-20 - 2011-02-26,56
2011-02-27 - 2011-03-05,59
2011-03-06 - 2011-03-12,56
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,59
2011-03-27 - 2011-04-02,59
2011-04-03 - 2011-04-09,57
2011-04-10 - 2011-04-16,59
2011-04-17 - 2011-04-23,57
2011-04-24 - 2011-04-30,56
2011-05-01 - 2011-05-07,56
2011-05-08 - 2011-05-14,57
2011-05-15 - 2011-05-21,55
2011-05-22 - 2011-05-28,56
2011-05-29 - 2011-06-04,56
2011-06-05 - 2011-06-11,52
2011-06-12 - 2011-06-18,54
2011-06-19 - 2011-06-25,55
2011-06-26 - 2011-07-02,54
2011-07-03 - 2011-07-09,53
2011-07-10 - 2011-07-16,54
2011-07-17 - 2011-07-23,53
2011-07-24 - 2011-07-30,54
2011-07-31 - 2011-08-06,53
2011-08-07 - 2011-08-13,52
2011-08-14 - 2011-08-20,55
2011-08-21 - 2011-08-27,50
2011-08-28 - 2011-09-03,52
2011-09-04 - 2011-09-10,54
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,55
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,57
2011-10-09 - 2011-10-15,57
2011-10-16 - 2011-10-22,58
2011-10-23 - 2011-10-29,59
2011-10-30 - 2011-11-05,58
2011-11-06 - 2011-11-12,57
2011-11-13 - 2011-11-19,59
2011-11-20 - 2011-11-26,51
2011-11-27 - 2011-12-03,59
2011-12-04 - 2011-12-10,58
2011-12-11 - 2011-12-17,56
2011-12-18 - 2011-12-24,53
2011-12-25 - 2011-12-31,47
2012-01-01 - 2012-01-07,54
2012-01-08 - 2012-01-14,58
2012-01-15 - 2012-01-21,53
2012-01-22 - 2012-01-28,57
2012-01-29 - 2012-02-04,54
2012-02-05 - 2012-02-11,56
2012-02-12 - 2012-02-18,56
2012-02-19 - 2012-02-25,55
2012-02-26 - 2012-03-03,57
2012-03-04 - 2012-03-10,58
2012-03-11 - 2012-03-17,56
2012-03-18 - 2012-03-24,59
2012-03-25 - 2012-03-31,56
2012-04-01 - 2012-04-07,54
2012-04-08 - 2012-04-14,57
2012-04-15 - 2012-04-21,61
2012-04-22 - 2012-04-28,59
2012-04-29 - 2012-05-05,60
2012-05-06 - 2012-05-12,58
2012-05-13 - 2012-05-19,57
2012-05-20 - 2012-05-26,56
2012-05-27 - 2012-06-02,57
2012-06-03 - 2012-06-09,58
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,52
2012-06-24 - 2012-06-30,54
2012-07-01 - 2012-07-07,54
2012-07-08 - 2012-07-14,54
2012-07-15 - 2012-07-21,53
2012-07-22 - 2012-07-28,53
2012-07-29 - 2012-08-04,54
2012-08-05 - 2012-08-11,51
2012-08-12 - 2012-08-18,54
2012-08-19 - 2012-08-25,56
2012-08-26 - 2012-09-01,53
2012-09-02 - 2012-09-08,53
2012-09-09 - 2012-09-15,55
2012-09-16 - 2012-09-22,55
2012-09-23 - 2012-09-29,56
2012-09-30 - 2012-10-06,55
2012-10-07 - 2012-10-13,56
2012-10-14 - 2012-10-20,57
2012-10-21 - 2012-10-27,54
2012-10-28 - 2012-11-03,53
2012-11-04 - 2012-11-10,53
2012-11-11 - 2012-11-17,58
2012-11-18 - 2012-11-24,51
2012-11-25 - 2012-12-01,58
2012-12-02 - 2012-12-08,59
2012-12-09 - 2012-12-15,55
2012-12-16 - 2012-12-22,54
2012-12-23 - 2012-12-29,48
2012-12-30 - 2013-01-05,50
2013-01-06 - 2013-01-12,53
2013-01-13 - 2013-01-19,55
2013-01-20 - 2013-01-26,52
2013-01-27 - 2013-02-02,53
2013-02-03 - 2013-02-09,55
2013-02-10 - 2013-02-16,55
2013-02-17 - 2013-02-23,54
2013-02-24 - 2013-03-02,57
2013-03-03 - 2013-03-09,56
2013-03-10 - 2013-03-16,54
2013-03-17 - 2013-03-23,57
2013-03-24 - 2013-03-30,58
2013-03-31 - 2013-04-06,59
2013-04-07 - 2013-04-13,64
2013-04-14 - 2013-04-20,62
2013-04-21 - 2013-04-27, 
2013-04-28 - 2013-05-04, 


Top subregions for tobacco
Subregion,tobacco
North Carolina,100
Montana,76
Kentucky,76
Wyoming,70
West Virginia,68
Indiana,62
Arkansas,62
North Dakota,61
South Dakota,61
Tennessee,61
District of Columbia,60
Alaska,59
Ohio,59
Georgia,58
Minnesota,58
Pennsylvania,57
South Carolina,57
Maine,56
Wisconsin,56
Mississippi,56
Nebraska,56
Iowa,56
Missouri,54
Virginia,54
Florida,53
Michigan,53
Maryland,52
Idaho,52
Kansas,52
Alabama,51
Oklahoma,51
Illinois,51
Vermont,50
Louisiana,49
Oregon,49
Colorado,49
Washington,47
New Mexico,46
Connecticut,45
Texas,45
New Jersey,44
Delaware,44
New York,44
New Hampshire,43
Massachusetts,42
Arizona,41
Rhode Island,39
Hawaii,39
California,38
Utah,36
Nevada,35


Top metros for tobacco
Metro,tobacco
Raleigh-Durham,100
Richmond-Petersburg,100
Lexington,76
Greensboro,72
Augusta,72
Bangor,68
Roanoke-Lynchburg,66
Harrisonburg,65
Tri-Cities,62
Charleston-Huntington,59
Greenville-New Bern-Washington,57
Lafayette,56
Bowling Green,56
Rapid City,56
Wilmington,54
Minot-Bismarck-Dickinson,54
Charlottesville,53
Cheyenne,53
Tallahassee,52
Greenville-Spartenburg,51
Duluth,51
Evansville,51
Fargo-Valley City,51
Sioux Falls,50
Little Rock-Pine Bluff,50
Pittsburgh,50
Columbia-Jefferson City,50
La Crosse-Eau Claire,50
Albany,49
Wilkes Barre-Scranton,49
Louisville,49
Spokane,49
Paducah,48
Charlotte,48
Chico-Redding,47
Missoula,47
Flint,47
Johnstown-Altoona,47
Madison,47
Nashville,47
Topeka,47
Florence-Myrtle Beach,47
Lansing,47
Anchorage,46
Springfield,46
Harrisburg-Lancaster-Lebanon-York,46
Lubbock,46
Knoxville,46
Atlanta,45
Boise,45
Columbia,45
Ft Smith-Fay-Springfield,45
Youngstown-Warren,45
Columbus,44
Indianapolis,44
Huntsville,44
Savannah,44
Lincoln-Hastings,44
Wausau-Rhinelander,44
Cleveland,44
Erie,43
Traverse City-Cadillac,43
Dayton,43
Binghamton,43
Gainesville,43
Green Bay-Appleton,42
Montgomery,42
Tyler-Longview,42
Jackson,42
Minneapolis-St Paul,42
Grand Rapids,42
Omaha,42
Philadelphia,42
Des Moines,42
Davenport-Rock Island-Moline,42
Tampa,42
Syracuse,41
Cedar Rapids-Waterloo,41
Macon,41
Ft Wayne,41
Champaign-Springfield-Decatur,41
Rockford,41
Waco-Temple-Bryan,41
Portland,41
Charleston,40
South Bend,40
Norfolk-Portsmouth,40
Birmingham,40
Baltimore,40
Peoria-Bloomington,40
Baton Rouge,40
Oklahoma City,40
Portland-Auburn,39
Amarillo,39
Chicago,39
Albany-Schenectady-Troy,39
Tucson,39
Medford-Klamath Falls,39
Denver,39
Toledo,39
Burlington,39
Kansas City,39
Chattanooga,39
Shreveport,38
Memphis,38
Wichita,38
Miami,38
Detroit,37
Hartford,37
Cincinnati,37
Mobile,37
St Louis,37
Buffalo,37
Springfield-Holyoke,37
New Orleans,36
Rochester-Mason City-Austin,36
Yakima-Pasco,36
Columbus,35
Milwaukee,35
Lafayette,35
Orlando,35
Albuquerque,35
New York,34
Eugene,34
Washington,34
Sacramento,34
Santa Barbara,34
Boston,34
Dallas-Fort Worth,34
Rochester,34
Jacksonville,33
Seattle-Tacoma,33
Colorado Springs,33
Ft Myers,33
Honolulu,33
Abilene-Sweetwater,32
Tulsa,32
Monterey-Salinas,31
Phoenix,31
Salt Lake City,31
Providence,30
Austin,30
Reno,29
Houston,29
Bakersfield,28
West Palm Beach,27
Los Angeles,27
El Paso,27
Las Vegas,26
San Diego,26
San Antonio,26
Fresno,23
Harlingen,22
San Francisco,22
Utica-Rome,0
Watertown,0
Presque Isle,0
Marquette,0
Wheeling,0
Lima,0
Bluefield-Beckley-Oak Hill,0
Elmira,0
Salisbury,0
Terre Haute,0
Alpena,0
Zanesville,0
Parkersburg,0
Clarksburg-Weston,0
Corpus Christi,0
Joplin-Pittsburg,0
Dothan,0
Sioux City,0
Victoria,0
Wichita Falls,0
Monroe,0
Ottumwa-Kirksville,0
Odessa-Midland,0
St Joseph,0
Jackson,0
Lake Charles,0
Alexandria,0
Greenwood-Greenville,0
Panama City,0
Sherman,0
San Angelo,0
Columbus-Tupelo-West Point,0
Beaumont-Port Author,0
Hattiesburg-Laurel,0
Meridian,0
Quincy,0
Jonesboro,0
Mankato,0
North Platte,0
Fairbanks,0
Biloxi-Gulfport,0
Juneau,0
Laredo,0
Butte-Bozeman,0
Great Falls,0
Billings,0
Idaho Falls-Pocatello,0
Twin Falls,0
Helena,0
Casper-Riverton,0
Yuma,0
Grand Junction,0
Glendive,0
Eureka,0
Palm Springs,0
Bend,0


Top cities for tobacco
City,tobacco
Richmond,100
Raleigh,86
Washington,45
Atlanta,42
Minneapolis,38
Chicago,37
Miami,36
Denver,32
Philadelphia,31
Boston,30
New York,30
Dallas,30
Seattle,29
Houston,28
Los Angeles,27



Top searches for tobacco
chewing tobacco,100
tobacco pipe,95
smoking tobacco,75
smoking,75
cigarettes,50
smokeless tobacco,50
tobacco road,50
cigarette tobacco,45
american tobacco,45
tobacco pipes,40
tobacco use,40
tobacco shop,40
tobacco company,35
what is tobacco,35
tobacco store,25
chew tobacco,25
nicotine,25
hookah tobacco,25
hookah,25
tobacco shops,25
tabacco,25
effects of tobacco,25
dip,25
dip tobacco,25
us tobacco,20
tobacco facts,20
tobacco products,20
tobacco tax,20
tobacco stores,20
cigars,20
copenhagen tobacco,20
copenhagen,15
snuff,15
tobacco companies,15
tobacco control,15
skoal tobacco,15
rolling tobacco,15
grizzly,15
skoal,15
grizzly tobacco,15
tobacco leaf,10
tobacco world,10
tobacco pictures,10
discount tobacco,10
cheap tobacco,10
tobacco plant,10
tobacco reviews,10
tobacco statistics,10
tobacco industry,10
dipping tobacco,10



Rising searches for tobacco
grizzly,+250%
grizzly tobacco,+250%
hookah tobacco,+250%
hookah,+200%
what is tobacco,+110%
dip tobacco,+100%
tobacco store,+100%
dip,+90%
rolling tobacco,+80%
tobacco road,+80%



