"Web Search Interest: ""·Î°©""",,
China; 2004 - present,,
,,
Interest over time,,
Week,·Î°©,
2007-11-11 - 2007-11-17,79,
2007-11-18 - 2007-11-24,77,
2007-11-25 - 2007-12-01,71,
2007-12-02 - 2007-12-08,62,
2007-12-09 - 2007-12-15,54,
2007-12-16 - 2007-12-22,76,
2007-12-23 - 2007-12-29,78,
2007-12-30 - 2008-01-05,71,
2008-01-06 - 2008-01-12,58,
2008-01-13 - 2008-01-19,60,
2008-01-20 - 2008-01-26,72,
2008-01-27 - 2008-02-02,47,
2008-02-03 - 2008-02-09,41,
2008-02-10 - 2008-02-16,75,
2008-02-17 - 2008-02-23,71,
2008-02-24 - 2008-03-01,71,
2008-03-02 - 2008-03-08,74,
2008-03-09 - 2008-03-15,67,
2008-03-16 - 2008-03-22,68,
2008-03-23 - 2008-03-29,65,
2008-03-30 - 2008-04-05,61,
2008-04-06 - 2008-04-12,74,
2008-04-13 - 2008-04-19,64,
2008-04-20 - 2008-04-26,69,
2008-04-27 - 2008-05-03,51,
2008-05-04 - 2008-05-10,60,
2008-05-11 - 2008-05-17,62,
2008-05-18 - 2008-05-24,66,
2008-05-25 - 2008-05-31,70,
2008-06-01 - 2008-06-07,62,
2008-06-08 - 2008-06-14,56,
2008-06-15 - 2008-06-21,62,
2008-06-22 - 2008-06-28,70,
2008-06-29 - 2008-07-05,59,
2008-07-06 - 2008-07-12,62,
2008-07-13 - 2008-07-19,66,
2008-07-20 - 2008-07-26,46,
2008-07-27 - 2008-08-02,52,
2008-08-03 - 2008-08-09,52,
2008-08-10 - 2008-08-16,62,
2008-08-17 - 2008-08-23,59,
2008-08-24 - 2008-08-30,68,
2008-08-31 - 2008-09-06,54,
2008-09-07 - 2008-09-13,59,
2008-09-14 - 2008-09-20,56,
2008-09-21 - 2008-09-27,51,
2008-09-28 - 2008-10-04,47,
2008-10-05 - 2008-10-11,61,
2008-10-12 - 2008-10-18,48,
2008-10-19 - 2008-10-25,61,
2008-10-26 - 2008-11-01,66,
2008-11-02 - 2008-11-08,59,
2008-11-09 - 2008-11-15,58,
2008-11-16 - 2008-11-22,62,
2008-11-23 - 2008-11-29,71,
2008-11-30 - 2008-12-06,63,
2008-12-07 - 2008-12-13,65,
2008-12-14 - 2008-12-20,69,
2008-12-21 - 2008-12-27,61,
2008-12-28 - 2009-01-03,53,
2009-01-04 - 2009-01-10,61,
2009-01-11 - 2009-01-17,68,
2009-01-18 - 2009-01-24,56,
2009-01-25 - 2009-01-31,57,
2009-02-01 - 2009-02-07,70,
2009-02-08 - 2009-02-14,65,
2009-02-15 - 2009-02-21,64,
2009-02-22 - 2009-02-28,62,
2009-03-01 - 2009-03-07,65,
2009-03-08 - 2009-03-14,64,
2009-03-15 - 2009-03-21,77,
2009-03-22 - 2009-03-28,70,
2009-03-29 - 2009-04-04,62,
2009-04-05 - 2009-04-11,64,
2009-04-12 - 2009-04-18,83,
2009-04-19 - 2009-04-25,64,
2009-04-26 - 2009-05-02,67,
2009-05-03 - 2009-05-09,82,
2009-05-10 - 2009-05-16,78,
2009-05-17 - 2009-05-23,71,
2009-05-24 - 2009-05-30,64,
2009-05-31 - 2009-06-06,78,
2009-06-07 - 2009-06-13,74,
2009-06-14 - 2009-06-20,67,
2009-06-21 - 2009-06-27,61,
2009-06-28 - 2009-07-04,61,
2009-07-05 - 2009-07-11,57,
2009-07-12 - 2009-07-18,55,
2009-07-19 - 2009-07-25,54,
2009-07-26 - 2009-08-01,70,
2009-08-02 - 2009-08-08,52,
2009-08-09 - 2009-08-15,65,
2009-08-16 - 2009-08-22,59,
2009-08-23 - 2009-08-29,61,
2009-08-30 - 2009-09-05,65,
2009-09-06 - 2009-09-12,62,
2009-09-13 - 2009-09-19,63,
2009-09-20 - 2009-09-26,54,
2009-09-27 - 2009-10-03,60,
2009-10-04 - 2009-10-10,64,
2009-10-11 - 2009-10-17,62,
2009-10-18 - 2009-10-24,52,
2009-10-25 - 2009-10-31,54,
2009-11-01 - 2009-11-07,53,
2009-11-08 - 2009-11-14,61,
2009-11-15 - 2009-11-21,52,
2009-11-22 - 2009-11-28,59,
2009-11-29 - 2009-12-05,56,
2009-12-06 - 2009-12-12,49,
2009-12-13 - 2009-12-19,67,
2009-12-20 - 2009-12-26,59,
2009-12-27 - 2010-01-02,45,
2010-01-03 - 2010-01-09,65,
2010-01-10 - 2010-01-16,51,
2010-01-17 - 2010-01-23,57,
2010-01-24 - 2010-01-30,70,
2010-01-31 - 2010-02-06,57,
2010-02-07 - 2010-02-13,45,
2010-02-14 - 2010-02-20,39,
2010-02-21 - 2010-02-27,68,
2010-02-28 - 2010-03-06,73,
2010-03-07 - 2010-03-13,58,
2010-03-14 - 2010-03-20,63,
2010-03-21 - 2010-03-27,76,
2010-03-28 - 2010-04-03,69,
2010-04-04 - 2010-04-10,71,
2010-04-11 - 2010-04-17,68,
2010-04-18 - 2010-04-24,66,
2010-04-25 - 2010-05-01,67,
2010-05-02 - 2010-05-08,57,
2010-05-09 - 2010-05-15,72,
2010-05-16 - 2010-05-22,68,
2010-05-23 - 2010-05-29,80,
2010-05-30 - 2010-06-05,83,
2010-06-06 - 2010-06-12,60,
2010-06-13 - 2010-06-19,57,
2010-06-20 - 2010-06-26,56,
2010-06-27 - 2010-07-03,65,
2010-07-04 - 2010-07-10,48,
2010-07-11 - 2010-07-17,51,
2010-07-18 - 2010-07-24,57,
2010-07-25 - 2010-07-31,48,
2010-08-01 - 2010-08-07,56,
2010-08-08 - 2010-08-14,62,
2010-08-15 - 2010-08-21,64,
2010-08-22 - 2010-08-28,59,
2010-08-29 - 2010-09-04,57,
2010-09-05 - 2010-09-11,61,
2010-09-12 - 2010-09-18,63,
2010-09-19 - 2010-09-25,55,
2010-09-26 - 2010-10-02,60,
2010-10-03 - 2010-10-09,54,
2010-10-10 - 2010-10-16,70,
2010-10-17 - 2010-10-23,63,
2010-10-24 - 2010-10-30,58,
2010-10-31 - 2010-11-06,65,
2010-11-07 - 2010-11-13,70,
2010-11-14 - 2010-11-20,81,
2010-11-21 - 2010-11-27,73,
2010-11-28 - 2010-12-04,68,
2010-12-05 - 2010-12-11,76,
2010-12-12 - 2010-12-18,61,
2010-12-19 - 2010-12-25,57,
2010-12-26 - 2011-01-01,59,
2011-01-02 - 2011-01-08,62,
2011-01-09 - 2011-01-15,70,
2011-01-16 - 2011-01-22,63,
2011-01-23 - 2011-01-29,66,
2011-01-30 - 2011-02-05,55,
2011-02-06 - 2011-02-12,58,
2011-02-13 - 2011-02-19,71,
2011-02-20 - 2011-02-26,75,
2011-02-27 - 2011-03-05,66,
2011-03-06 - 2011-03-12,75,
2011-03-13 - 2011-03-19,71,
2011-03-20 - 2011-03-26,66,
2011-03-27 - 2011-04-02,77,
2011-04-03 - 2011-04-09,73,
2011-04-10 - 2011-04-16,76,
2011-04-17 - 2011-04-23,73,
2011-04-24 - 2011-04-30,64,
2011-05-01 - 2011-05-07,64,
2011-05-08 - 2011-05-14,70,
2011-05-15 - 2011-05-21,67,
2011-05-22 - 2011-05-28,74,
2011-05-29 - 2011-06-04,73,
2011-06-05 - 2011-06-11,68,
2011-06-12 - 2011-06-18,68,
2011-06-19 - 2011-06-25,60,
2011-06-26 - 2011-07-02,61,
2011-07-03 - 2011-07-09,53,
2011-07-10 - 2011-07-16,58,
2011-07-17 - 2011-07-23,60,
2011-07-24 - 2011-07-30,55,
2011-07-31 - 2011-08-06,55,
2011-08-07 - 2011-08-13,50,
2011-08-14 - 2011-08-20,60,
2011-08-21 - 2011-08-27,55,
2011-08-28 - 2011-09-03,68,
2011-09-04 - 2011-09-10,59,
2011-09-11 - 2011-09-17,57,
2011-09-18 - 2011-09-24,57,
2011-09-25 - 2011-10-01,58,
2011-10-02 - 2011-10-08,57,
2011-10-09 - 2011-10-15,64,
2011-10-16 - 2011-10-22,61,
2011-10-23 - 2011-10-29,61,
2011-10-30 - 2011-11-05,56,
2011-11-06 - 2011-11-12,55,
2011-11-13 - 2011-11-19,68,
2011-11-20 - 2011-11-26,64,
2011-11-27 - 2011-12-03,65,
2011-12-04 - 2011-12-10,60,
2011-12-11 - 2011-12-17,64,
2011-12-18 - 2011-12-24,61,
2011-12-25 - 2011-12-31,68,
2012-01-01 - 2012-01-07,49,
2012-01-08 - 2012-01-14,62,
2012-01-15 - 2012-01-21,42,
2012-01-22 - 2012-01-28,49,
2012-01-29 - 2012-02-04,61,
2012-02-05 - 2012-02-11,63,
2012-02-12 - 2012-02-18,75,
2012-02-19 - 2012-02-25,72,
2012-02-26 - 2012-03-03,75,
2012-03-04 - 2012-03-10,60,
2012-03-11 - 2012-03-17,70,
2012-03-18 - 2012-03-24,71,
2012-03-25 - 2012-03-31,70,
2012-04-01 - 2012-04-07,68,
2012-04-08 - 2012-04-14,62,
2012-04-15 - 2012-04-21,73,
2012-04-22 - 2012-04-28,68,
2012-04-29 - 2012-05-05,67,
2012-05-06 - 2012-05-12,68,
2012-05-13 - 2012-05-19,72,
2012-05-20 - 2012-05-26,76,
2012-05-27 - 2012-06-02,70,
2012-06-03 - 2012-06-09,63,
2012-06-10 - 2012-06-16,72,
2012-06-17 - 2012-06-23,65,
2012-06-24 - 2012-06-30,62,
2012-07-01 - 2012-07-07,55,
2012-07-08 - 2012-07-14,58,
2012-07-15 - 2012-07-21,54,
2012-07-22 - 2012-07-28,63,
2012-07-29 - 2012-08-04,60,
2012-08-05 - 2012-08-11,58,
2012-08-12 - 2012-08-18,57,
2012-08-19 - 2012-08-25,53,
2012-08-26 - 2012-09-01,57,
2012-09-02 - 2012-09-08,63,
2012-09-09 - 2012-09-15,52,
2012-09-16 - 2012-09-22,52,
2012-09-23 - 2012-09-29,60,
2012-09-30 - 2012-10-06,53,
2012-10-07 - 2012-10-13,55,
2012-10-14 - 2012-10-20,73,
2012-10-21 - 2012-10-27,63,
2012-10-28 - 2012-11-03,66,
2012-11-04 - 2012-11-10,56,
2012-11-11 - 2012-11-17,63,
2012-11-18 - 2012-11-24,61,
2012-11-25 - 2012-12-01,63,
2012-12-02 - 2012-12-08,56,
2012-12-09 - 2012-12-15,61,
2012-12-16 - 2012-12-22,63,
2012-12-23 - 2012-12-29,54,
2012-12-30 - 2013-01-05,51,
2013-01-06 - 2013-01-12,74,
2013-01-13 - 2013-01-19,71,
2013-01-20 - 2013-01-26,61,
2013-01-27 - 2013-02-02,61,
2013-02-03 - 2013-02-09,47,
2013-02-10 - 2013-02-16,67,
2013-02-17 - 2013-02-23,69,
2013-02-24 - 2013-03-02,68,
2013-03-03 - 2013-03-09,67,
2013-03-10 - 2013-03-16,77,
2013-03-17 - 2013-03-23,78,
2013-03-24 - 2013-03-30,69,
2013-03-31 - 2013-04-06,71,
2013-04-07 - 2013-04-13,53,
2013-04-14 - 2013-04-20, ,
2013-04-21 - 2013-04-27, ,
2013-04-28 - 2013-05-04, ,
,,
Interest over time,,
Week,Health,·Î°©
2004-01-04 - 2004-01-10,0%,0%
2004-01-11 - 2004-01-17,-8%,-17%
2004-01-18 - 2004-01-24,-23%,-24%
2004-01-25 - 2004-01-31,-2%,-15%
2004-02-01 - 2004-02-07,2%,7%
2004-02-08 - 2004-02-14,2%,-11%
2004-02-15 - 2004-02-21,2%,6%
2004-02-22 - 2004-02-28,-2%,-22%
2004-02-29 - 2004-03-06,3%,6%
2004-03-07 - 2004-03-13,2%,28%
2004-03-14 - 2004-03-20,3%,50%
2004-03-21 - 2004-03-27,2%,-30%
2004-03-28 - 2004-04-03,3%,7%
2004-04-04 - 2004-04-10,5%,-7%
2004-04-11 - 2004-04-17,7%,15%
2004-04-18 - 2004-04-24,11%,-7%
2004-04-25 - 2004-05-01,7%,4%
2004-05-02 - 2004-05-08,-2%,-7%
2004-05-09 - 2004-05-15,11%,22%
2004-05-16 - 2004-05-22,10%,48%
2004-05-23 - 2004-05-29,8%,7%
2004-05-30 - 2004-06-05,7%,4%
2004-06-06 - 2004-06-12,8%,15%
2004-06-13 - 2004-06-19,8%,-9%
2004-06-20 - 2004-06-26,0%,-4%
2004-06-27 - 2004-07-03,3%,-20%
2004-07-04 - 2004-07-10,0%,-31%
2004-07-11 - 2004-07-17,2%,2%
2004-07-18 - 2004-07-24,2%,7%
2004-07-25 - 2004-07-31,0%,-11%
2004-08-01 - 2004-08-07,2%,-13%
2004-08-08 - 2004-08-14,5%,-6%
2004-08-15 - 2004-08-21,7%,6%
2004-08-22 - 2004-08-28,5%,-4%
2004-08-29 - 2004-09-04,7%,31%
2004-09-05 - 2004-09-11,8%,-31%
2004-09-12 - 2004-09-18,7%,9%
2004-09-19 - 2004-09-25,5%,33%
2004-09-26 - 2004-10-02,-2%,-19%
2004-10-03 - 2004-10-09,5%,35%
2004-10-10 - 2004-10-16,10%,2%
2004-10-17 - 2004-10-23,7%,7%
2004-10-24 - 2004-10-30,11%,-4%
2004-10-31 - 2004-11-06,10%,-6%
2004-11-07 - 2004-11-13,8%,0%
2004-11-14 - 2004-11-20,11%,-2%
2004-11-21 - 2004-11-27,11%,28%
2004-11-28 - 2004-12-04,15%,13%
2004-12-05 - 2004-12-11,13%,20%
2004-12-12 - 2004-12-18,13%,11%
2004-12-19 - 2004-12-25,5%,-11%
2004-12-26 - 2005-01-01,3%,28%
2005-01-02 - 2005-01-08,3%,-24%
2005-01-09 - 2005-01-15,5%,22%
2005-01-16 - 2005-01-22,5%,22%
2005-01-23 - 2005-01-29,3%,15%
2005-01-30 - 2005-02-05,2%,13%
2005-02-06 - 2005-02-12,-16%,-13%
2005-02-13 - 2005-02-19,7%,44%
2005-02-20 - 2005-02-26,11%,41%
2005-02-27 - 2005-03-05,11%,22%
2005-03-06 - 2005-03-12,10%,17%
2005-03-13 - 2005-03-19,10%,28%
2005-03-20 - 2005-03-26,11%,26%
2005-03-27 - 2005-04-02,15%,2%
2005-04-03 - 2005-04-09,11%,26%
2005-04-10 - 2005-04-16,13%,44%
2005-04-17 - 2005-04-23,16%,37%
2005-04-24 - 2005-04-30,11%,6%
2005-05-01 - 2005-05-07,8%,-7%
2005-05-08 - 2005-05-14,23%,7%
2005-05-15 - 2005-05-21,20%,37%
2005-05-22 - 2005-05-28,21%,54%
2005-05-29 - 2005-06-04,25%,37%
2005-06-05 - 2005-06-11,18%,2%
2005-06-12 - 2005-06-18,15%,13%
2005-06-19 - 2005-06-25,16%,17%
2005-06-26 - 2005-07-02,10%,-6%
2005-07-03 - 2005-07-09,8%,20%
2005-07-10 - 2005-07-16,11%,2%
2005-07-17 - 2005-07-23,8%,17%
2005-07-24 - 2005-07-30,11%,6%
2005-07-31 - 2005-08-06,8%,-20%
2005-08-07 - 2005-08-13,8%,48%
2005-08-14 - 2005-08-20,10%,19%
2005-08-21 - 2005-08-27,10%,57%
2005-08-28 - 2005-09-03,13%,39%
2005-09-04 - 2005-09-10,15%,35%
2005-09-11 - 2005-09-17,13%,39%
2005-09-18 - 2005-09-24,13%,2%
2005-09-25 - 2005-10-01,13%,11%
2005-10-02 - 2005-10-08,5%,-26%
2005-10-09 - 2005-10-15,20%,-11%
2005-10-16 - 2005-10-22,18%,17%
2005-10-23 - 2005-10-29,18%,85%
2005-10-30 - 2005-11-05,16%,44%
2005-11-06 - 2005-11-12,16%,43%
2005-11-13 - 2005-11-19,18%,-6%
2005-11-20 - 2005-11-26,15%,20%
2005-11-27 - 2005-12-03,21%,17%
2005-12-04 - 2005-12-10,13%,9%
2005-12-11 - 2005-12-17,11%,33%
2005-12-18 - 2005-12-24,10%,11%
2005-12-25 - 2005-12-31,7%,70%
2006-01-01 - 2006-01-07,5%,17%
2006-01-08 - 2006-01-14,8%,15%
2006-01-15 - 2006-01-21,2%,-7%
2006-01-22 - 2006-01-28,-8%,20%
2006-01-29 - 2006-02-04,-5%,9%
2006-02-05 - 2006-02-11,13%,30%
2006-02-12 - 2006-02-18,13%,6%
2006-02-19 - 2006-02-25,16%,44%
2006-02-26 - 2006-03-04,8%,43%
2006-03-05 - 2006-03-11,13%,11%
2006-03-12 - 2006-03-18,16%,37%
2006-03-19 - 2006-03-25,20%,17%
2006-03-26 - 2006-04-01,18%,28%
2006-04-02 - 2006-04-08,16%,9%
2006-04-09 - 2006-04-15,18%,22%
2006-04-16 - 2006-04-22,13%,46%
2006-04-23 - 2006-04-29,13%,24%
2006-04-30 - 2006-05-06,3%,43%
2006-05-07 - 2006-05-13,20%,43%
2006-05-14 - 2006-05-20,16%,69%
2006-05-21 - 2006-05-27,20%,54%
2006-05-28 - 2006-06-03,20%,-2%
2006-06-04 - 2006-06-10,16%,19%
2006-06-11 - 2006-06-17,11%,22%
2006-06-18 - 2006-06-24,10%,13%
2006-06-25 - 2006-07-01,7%,4%
2006-07-02 - 2006-07-08,10%,-4%
2006-07-09 - 2006-07-15,8%,0%
2006-07-16 - 2006-07-22,13%,-22%
2006-07-23 - 2006-07-29,13%,11%
2006-07-30 - 2006-08-05,10%,26%
2006-08-06 - 2006-08-12,10%,31%
2006-08-13 - 2006-08-19,13%,19%
2006-08-20 - 2006-08-26,15%,37%
2006-08-27 - 2006-09-02,10%,37%
2006-09-03 - 2006-09-09,11%,6%
2006-09-10 - 2006-09-16,13%,15%
2006-09-17 - 2006-09-23,11%,20%
2006-09-24 - 2006-09-30,8%,7%
2006-10-01 - 2006-10-07,-5%,-17%
2006-10-08 - 2006-10-14,18%,59%
2006-10-15 - 2006-10-21,16%,28%
2006-10-22 - 2006-10-28,20%,43%
2006-10-29 - 2006-11-04,20%,35%
2006-11-05 - 2006-11-11,21%,39%
2006-11-12 - 2006-11-18,15%,59%
2006-11-19 - 2006-11-25,20%,9%
2006-11-26 - 2006-12-02,18%,20%
2006-12-03 - 2006-12-09,15%,33%
2006-12-10 - 2006-12-16,13%,7%
2006-12-17 - 2006-12-23,11%,20%
2006-12-24 - 2006-12-30,11%,35%
2006-12-31 - 2007-01-06,5%,22%
2007-01-07 - 2007-01-13,15%,20%
2007-01-14 - 2007-01-20,13%,69%
2007-01-21 - 2007-01-27,13%,17%
2007-01-28 - 2007-02-03,8%,28%
2007-02-04 - 2007-02-10,7%,39%
2007-02-11 - 2007-02-17,-7%,7%
2007-02-18 - 2007-02-24,2%,24%
2007-02-25 - 2007-03-03,13%,26%
2007-03-04 - 2007-03-10,13%,37%
2007-03-11 - 2007-03-17,20%,67%
2007-03-18 - 2007-03-24,16%,59%
2007-03-25 - 2007-03-31,15%,50%
2007-04-01 - 2007-04-07,10%,54%
2007-04-08 - 2007-04-14,15%,57%
2007-04-15 - 2007-04-21,13%,59%
2007-04-22 - 2007-04-28,13%,57%
2007-04-29 - 2007-05-05,3%,13%
2007-05-06 - 2007-05-12,13%,57%
2007-05-13 - 2007-05-19,15%,43%
2007-05-20 - 2007-05-26,16%,22%
2007-05-27 - 2007-06-02,11%,48%
2007-06-03 - 2007-06-09,10%,31%
2007-06-10 - 2007-06-16,13%,17%
2007-06-17 - 2007-06-23,10%,17%
2007-06-24 - 2007-06-30,8%,6%
2007-07-01 - 2007-07-07,10%,35%
2007-07-08 - 2007-07-14,10%,41%
2007-07-15 - 2007-07-21,11%,43%
2007-07-22 - 2007-07-28,10%,22%
2007-07-29 - 2007-08-04,11%,72%
2007-08-05 - 2007-08-11,3%,20%
2007-08-12 - 2007-08-18,10%,26%
2007-08-19 - 2007-08-25,11%,20%
2007-08-26 - 2007-09-01,8%,43%
2007-09-02 - 2007-09-08,10%,35%
2007-09-09 - 2007-09-15,10%,59%
2007-09-16 - 2007-09-22,3%,43%
2007-09-23 - 2007-09-29,3%,59%
2007-09-30 - 2007-10-06,-3%,43%
2007-10-07 - 2007-10-13,5%,19%
2007-10-14 - 2007-10-20,10%,44%
2007-10-21 - 2007-10-27,8%,39%
2007-10-28 - 2007-11-03,8%,31%
2007-11-04 - 2007-11-10,8%,37%
2007-11-11 - 2007-11-17,10%,46%
2007-11-18 - 2007-11-24,13%,43%
2007-11-25 - 2007-12-01,16%,31%
2007-12-02 - 2007-12-08,7%,15%
2007-12-09 - 2007-12-15,10%,0%
2007-12-16 - 2007-12-22,8%,41%
