Web Search Interest: "smoking"
Australia; 2004 - present

Interest over time
Week,"smoking"
2008-03-23 - 2008-03-29,-2%,-11%
2008-03-30 - 2008-04-05,+0%,-8%
2008-04-06 - 2008-04-12,+2%,-13%
2008-04-13 - 2008-04-19,-2%,-11%
2008-04-20 - 2008-04-26,-6%,-13%
2008-04-27 - 2008-05-03,+2%,-8%
2008-05-04 - 2008-05-10,+4%,+5%
2008-05-11 - 2008-05-17,+5%,+8%
2008-05-18 - 2008-05-24,+5%,+13%
2008-05-25 - 2008-05-31,+5%,+29%
2008-06-01 - 2008-06-07,+0%,-5%
2008-06-08 - 2008-06-14,-2%,+3%
2008-06-15 - 2008-06-21,+0%,-3%
2008-06-22 - 2008-06-28,-4%,-13%
2008-06-29 - 2008-07-05,-9%,-29%
2008-07-06 - 2008-07-12,-11%,-42%
2008-07-13 - 2008-07-19,-9%,-37%
2008-07-20 - 2008-07-26,-7%,-16%
2008-07-27 - 2008-08-02,-1%,-11%
2008-08-03 - 2008-08-09,-2%,+0%
2008-08-10 - 2008-08-16,-1%,-8%
2008-08-17 - 2008-08-23,-1%,-3%
2008-08-24 - 2008-08-30,+6%,+8%
2008-08-31 - 2008-09-06,+4%,+26%
2008-09-07 - 2008-09-13,+4%,+18%
2008-09-14 - 2008-09-20,+1%,+8%
2008-09-21 - 2008-09-27,+0%,-21%
2008-09-28 - 2008-10-04,-2%,-32%
2008-10-05 - 2008-10-11,-5%,-8%
2008-10-12 - 2008-10-18,+1%,+0%
2008-10-19 - 2008-10-25,+4%,-8%
2008-10-26 - 2008-11-01,+4%,-8%
2008-11-02 - 2008-11-08,-4%,-5%
2008-11-09 - 2008-11-15,+0%,-3%
2008-11-16 - 2008-11-22,-6%,-11%
2008-11-23 - 2008-11-29,-7%,-13%
2008-11-30 - 2008-12-06,-8%,-37%
2008-12-07 - 2008-12-13,-14%,-50%
2008-12-14 - 2008-12-20,-15%,-55%
2008-12-21 - 2008-12-27,-29%,-55%
2008-12-28 - 2009-01-03,-24%,-34%
2009-01-04 - 2009-01-10,-11%,-39%
2009-01-11 - 2009-01-17,-11%,-45%
2009-01-18 - 2009-01-24,-11%,-45%
2009-01-25 - 2009-01-31,-12%,-45%
2009-02-01 - 2009-02-07,-4%,-34%
2009-02-08 - 2009-02-14,-9%,-39%
2009-02-15 - 2009-02-21,-4%,-26%
2009-02-22 - 2009-02-28,+0%,-29%
2009-03-01 - 2009-03-07,-1%,-11%
2009-03-08 - 2009-03-14,+0%,-13%
2009-03-15 - 2009-03-21,+6%,-13%
2009-03-22 - 2009-03-28,+6%,-11%
2009-03-29 - 2009-04-04,+4%,-5%
2009-04-05 - 2009-04-11,-8%,-24%
2009-04-12 - 2009-04-18,-5%,-37%
2009-04-19 - 2009-04-25,-2%,-16%
2009-04-26 - 2009-05-02,+8%,-16%
2009-05-03 - 2009-05-09,+7%,-5%
2009-05-10 - 2009-05-16,+6%,-13%
2009-05-17 - 2009-05-23,+7%,-5%
2009-05-24 - 2009-05-30,+8%,+3%
2009-05-31 - 2009-06-06,+6%,-5%
2009-06-07 - 2009-06-13,+2%,-18%
2009-06-14 - 2009-06-20,+1%,-8%
2009-06-21 - 2009-06-27,-5%,-21%
2009-06-28 - 2009-07-04,-8%,-29%
2009-07-05 - 2009-07-11,-8%,-29%
2009-07-12 - 2009-07-18,-6%,-29%
2009-07-19 - 2009-07-25,+1%,-24%
2009-07-26 - 2009-08-01,+0%,-8%
2009-08-02 - 2009-08-08,+2%,-11%
2009-08-09 - 2009-08-15,+2%,-5%
2009-08-16 - 2009-08-22,+6%,-11%
2009-08-23 - 2009-08-29,+2%,-3%
2009-08-30 - 2009-09-05,+5%,+3%
2009-09-06 - 2009-09-12,+7%,-3%
2009-09-13 - 2009-09-19,+4%,+0%
2009-09-20 - 2009-09-26,-2%,-16%
2009-09-27 - 2009-10-03,-8%,-26%
2009-10-04 - 2009-10-10,-7%,-32%
2009-10-11 - 2009-10-17,-2%,-26%
2009-10-18 - 2009-10-24,+2%,-16%
2009-10-25 - 2009-10-31,-1%,-8%
2009-11-01 - 2009-11-07,-7%,-18%
2009-11-08 - 2009-11-14,-4%,-21%
2009-11-15 - 2009-11-21,-7%,-18%
2009-11-22 - 2009-11-28,-9%,-21%
2009-11-29 - 2009-12-05,-14%,-42%
2009-12-06 - 2009-12-12,-13%,-39%
2009-12-13 - 2009-12-19,-15%,-53%
2009-12-20 - 2009-12-26,-25%,-55%
2009-12-27 - 2010-01-02,-29%,-50%
2010-01-03 - 2010-01-09,-14%,-34%
2010-01-10 - 2010-01-16,-12%,-32%
2010-01-17 - 2010-01-23,-11%,-34%
2010-01-24 - 2010-01-30,-15%,-45%
2010-01-31 - 2010-02-06,-8%,-21%
2010-02-07 - 2010-02-13,-6%,-32%
2010-02-14 - 2010-02-20,-7%,-26%
2010-02-21 - 2010-02-27,-1%,-18%
2010-02-28 - 2010-03-06,-6%,-18%
2010-03-07 - 2010-03-13,-4%,-16%
2010-03-14 - 2010-03-20,+4%,-11%
2010-03-21 - 2010-03-27,+1%,-13%
2010-03-28 - 2010-04-03,-11%,-29%
2010-04-04 - 2010-04-10,-8%,-37%
2010-04-11 - 2010-04-17,-4%,-18%
2010-04-18 - 2010-04-24,+0%,-8%
2010-04-25 - 2010-05-01,-1%,+5%
2010-05-02 - 2010-05-08,+1%,+18%
2010-05-09 - 2010-05-15,+1%,+8%
2010-05-16 - 2010-05-22,+0%,+3%
2010-05-23 - 2010-05-29,+1%,+79%
2010-05-30 - 2010-06-05,+2%,+42%
2010-06-06 - 2010-06-12,+2%,+8%
2010-06-13 - 2010-06-19,-4%,-13%
2010-06-20 - 2010-06-26,-9%,-16%
2010-06-27 - 2010-07-03,-11%,-34%
2010-07-04 - 2010-07-10,-8%,-39%
2010-07-11 - 2010-07-17,-6%,-32%
2010-07-18 - 2010-07-24,-4%,-29%
2010-07-25 - 2010-07-31,-2%,-21%
2010-08-01 - 2010-08-07,-1%,+0%
2010-08-08 - 2010-08-14,-1%,-16%
2010-08-15 - 2010-08-21,+5%,-11%
2010-08-22 - 2010-08-28,+2%,+0%
2010-08-29 - 2010-09-04,+2%,+0%
2010-09-05 - 2010-09-11,+0%,-3%
2010-09-12 - 2010-09-18,+4%,-11%
2010-09-19 - 2010-09-25,+2%,-24%
2010-09-26 - 2010-10-02,-4%,-34%
2010-10-03 - 2010-10-09,-1%,-26%
2010-10-10 - 2010-10-16,+5%,-8%
2010-10-17 - 2010-10-23,+1%,-11%
2010-10-24 - 2010-10-30,+4%,-16%
2010-10-31 - 2010-11-06,-5%,-11%
2010-11-07 - 2010-11-13,+1%,-11%
2010-11-14 - 2010-11-20,-2%,-13%
2010-11-21 - 2010-11-27,-6%,-32%
2010-11-28 - 2010-12-04,-12%,-39%
2010-12-05 - 2010-12-11,-12%,-13%
2010-12-12 - 2010-12-18,-12%,-11%
2010-12-19 - 2010-12-25,-20%,-37%
2010-12-26 - 2011-01-01,-26%,-34%
2011-01-02 - 2011-01-08,-14%,-24%
2011-01-09 - 2011-01-15,-12%,-39%
2011-01-16 - 2011-01-22,-6%,-39%
2011-01-23 - 2011-01-29,-9%,-37%
2011-01-30 - 2011-02-05,-7%,-32%
2011-02-06 - 2011-02-12,-6%,-29%
2011-02-13 - 2011-02-19,-4%,-26%
2011-02-20 - 2011-02-26,-1%,-29%
2011-02-27 - 2011-03-05,+0%,-21%
2011-03-06 - 2011-03-12,+1%,-11%
2011-03-13 - 2011-03-19,+0%,-13%
2011-03-20 - 2011-03-26,+5%,-11%
2011-03-27 - 2011-04-02,+8%,-8%
2011-04-03 - 2011-04-09,+4%,-13%
2011-04-10 - 2011-04-16,+1%,-26%
2011-04-17 - 2011-04-23,-5%,-26%
2011-04-24 - 2011-04-30,-8%,-21%
2011-05-01 - 2011-05-07,+1%,-3%
2011-05-08 - 2011-05-14,+5%,-18%
2011-05-15 - 2011-05-21,+6%,-13%
2011-05-22 - 2011-05-28,+5%,-5%
2011-05-29 - 2011-06-04,+7%,+0%
2011-06-05 - 2011-06-11,+5%,-16%
2011-06-12 - 2011-06-18,+2%,-11%
2011-06-19 - 2011-06-25,+2%,-18%
2011-06-26 - 2011-07-02,-2%,-29%
2011-07-03 - 2011-07-09,-6%,-29%
2011-07-10 - 2011-07-16,-5%,-34%
2011-07-17 - 2011-07-23,-4%,-32%
2011-07-24 - 2011-07-30,+0%,-29%
2011-07-31 - 2011-08-06,+2%,-24%
2011-08-07 - 2011-08-13,+6%,-21%
2011-08-14 - 2011-08-20,+4%,-21%
2011-08-21 - 2011-08-27,+8%,-11%
2011-08-28 - 2011-09-03,+5%,-13%
2011-09-04 - 2011-09-10,+7%,-8%
2011-09-11 - 2011-09-17,+6%,-11%
2011-09-18 - 2011-09-24,+7%,-18%
2011-09-25 - 2011-10-01,+1%,-32%
2011-10-02 - 2011-10-08,+1%,-26%
2011-10-09 - 2011-10-15,+7%,-24%
2011-10-16 - 2011-10-22,+8%,-26%
2011-10-23 - 2011-10-29,+6%,-24%
2011-10-30 - 2011-11-05,+4%,-24%
2011-11-06 - 2011-11-12,+4%,-13%
2011-11-13 - 2011-11-19,+5%,-18%
2011-11-20 - 2011-11-26,+0%,-24%
2011-11-27 - 2011-12-03,-4%,-32%
2011-12-04 - 2011-12-10,-8%,-39%
2011-12-11 - 2011-12-17,-7%,-39%
2011-12-18 - 2011-12-24,-11%,-53%
2011-12-25 - 2011-12-31,-20%,-47%
2012-01-01 - 2012-01-07,-7%,-29%
2012-01-08 - 2012-01-14,-4%,-39%
2012-01-15 - 2012-01-21,+0%,-37%
2012-01-22 - 2012-01-28,-7%,-37%
2012-01-29 - 2012-02-04,+2%,-34%
2012-02-05 - 2012-02-11,+4%,-32%
2012-02-12 - 2012-02-18,+1%,-32%
2012-02-19 - 2012-02-25,+4%,-21%
2012-02-26 - 2012-03-03,+2%,-24%
2012-03-04 - 2012-03-10,+5%,-18%
2012-03-11 - 2012-03-17,+7%,-16%
2012-03-18 - 2012-03-24,+6%,-21%
2012-03-25 - 2012-03-31,+8%,-21%
2012-04-01 - 2012-04-07,+1%,-29%
2012-04-08 - 2012-04-14,-1%,-29%
2012-04-15 - 2012-04-21,+8%,-16%
2012-04-22 - 2012-04-28,+1%,-26%
2012-04-29 - 2012-05-05,+7%,-13%
2012-05-06 - 2012-05-12,+9%,-11%
2012-05-13 - 2012-05-19,+5%,-16%
2012-05-20 - 2012-05-26,+11%,-11%
2012-05-27 - 2012-06-02,+11%,-8%
2012-06-03 - 2012-06-09,+9%,-16%
2012-06-10 - 2012-06-16,+5%,-24%
2012-06-17 - 2012-06-23,+7%,-26%
2012-06-24 - 2012-06-30,+1%,-29%
2012-07-01 - 2012-07-07,+0%,-34%
2012-07-08 - 2012-07-14,+4%,-32%
2012-07-15 - 2012-07-21,+8%,-32%
2012-07-22 - 2012-07-28,+6%,-24%
2012-07-29 - 2012-08-04,+8%,-24%
2012-08-05 - 2012-08-11,+8%,-16%
2012-08-12 - 2012-08-18,+11%,-8%
2012-08-19 - 2012-08-25,+15%,-3%
2012-08-26 - 2012-09-01,+13%,-5%
2012-09-02 - 2012-09-08,+14%,-5%
2012-09-09 - 2012-09-15,+12%,-3%
2012-09-16 - 2012-09-22,+9%,-13%
2012-09-23 - 2012-09-29,+5%,-32%
2012-09-30 - 2012-10-06,+4%,-26%
2012-10-07 - 2012-10-13,+11%,-24%
2012-10-14 - 2012-10-20,+14%,-21%
2012-10-21 - 2012-10-27,+15%,-18%
2012-10-28 - 2012-11-03,+7%,-18%
2012-11-04 - 2012-11-10,+7%,-21%
2012-11-11 - 2012-11-17,+7%,-21%
2012-11-18 - 2012-11-24,+4%,-21%
2012-11-25 - 2012-12-01,+1%,-21%
2012-12-02 - 2012-12-08,+0%,-29%
2012-12-09 - 2012-12-15,-5%,-37%
2012-12-16 - 2012-12-22,-5%,-39%
2012-12-23 - 2012-12-29,-16%,-37%
2012-12-30 - 2013-01-05,-5%,-5%
2013-01-06 - 2013-01-12,+5%,+158%
2013-01-13 - 2013-01-19,+4%,-16%
2013-01-20 - 2013-01-26,+2%,-29%
2013-01-27 - 2013-02-02,-2%,-26%
2013-02-03 - 2013-02-09,+8%,+24%
2013-02-10 - 2013-02-16,+8%,-16%
2013-02-17 - 2013-02-23,+11%,-24%
2013-02-24 - 2013-03-02, , 


Top subregions for "smoking"
Subregion,"smoking"
Northern Territory,100
Tasmania,82
Queensland,72
South Australia,69
Western Australia,68
Victoria,66
New South Wales,65
Australian Capital Territory,53


Top cities for "smoking"
City,"smoking"
Brisbane,100
Hobart,99
Melbourne,98
Sydney,98
Perth,95
Adelaide,93
Canberra,72



Top searches for "smoking"
quit,100
smoking quit,100
stop smoking,40
weed,40
smoking weed,40
smoking effects,35
quitting smoking,25
effects of smoking,20
smoking in australia,15
smoking laws,15
cigarette smoking,15
cigarette,15
smoking cigarettes,15
cigarettes,15
tobacco,15
anti smoking,15
smoking facts,15
tobacco smoking,15
marijuana,10
smoking statistics,10
smoking marijuana,10
lung cancer,10
smoking side effects,10
passive smoking,10
smoking cessation,10
no smoking,10
smoking causes,10
justin bieber smoking,5
bieber smoking weed,5
lungs,5
nicotine,5
smoking diseases,5
giving up smoking,5
quit smoking australia,5
smoking ban,5
smoking pot,5
give up smoking,5
smoking pictures,5
benefits of smoking,5
quitline,5
champix,5
champix smoking,5
smoking quitline,5
smoking is bad,5
smoking campaign,5
hypnotherapy,5
smoking kills,5
teenage smoking,5
smoking ads,5
smoking policy,5



Rising searches for "smoking"
bieber smoking weed,Breakout
justin bieber smoking,Breakout
weed,+950%
smoking weed,+800%
quitting smoking,+200%
smoking side effects,+130%
stop smoking,+110%
smoking cessation,+100%
giving up smoking,+90%
give up smoking,+80%



